game_id,team,bookmaker,market,open_time,matchup_x,open_odds,point_x,game_time_x,game_date_x,game_hour_x,game_minute_x,latest_time,matchup_y,latest_odds,point_y,game_time_y,game_date_y,game_hour_y,game_minute_y,delta,delta_pct_num,abs_pct_num,direction,delta_pct,abs_pct
Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays,BetMGM,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.87,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,2.15,,2025-07-07 22:41:00,2025-07-07,22,41,0.28,14.97,14.97,🔺 up,14.97%,14.97%
Tampa Bay Rays_Detroit Tigers_20250707_2241,Detroit Tigers,BetRivers,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.93,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,1.65,,2025-07-07 22:41:00,2025-07-07,22,41,-0.28,-14.51,14.51,🔻 down,-14.51%,14.51%
Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays,DraftKings,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.88,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,2.14,,2025-07-07 22:41:00,2025-07-07,22,41,0.26,13.83,13.83,🔺 up,13.83%,13.83%
Tampa Bay Rays_Detroit Tigers_20250707_2241,Detroit Tigers,BetMGM,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.95,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,1.69,,2025-07-07 22:41:00,2025-07-07,22,41,-0.26,-13.33,13.33,🔻 down,-13.33%,13.33%
Tampa Bay Rays_Detroit Tigers_20250707_2241,Detroit Tigers,DraftKings,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.93,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,1.68,,2025-07-07 22:41:00,2025-07-07,22,41,-0.25,-12.95,12.95,🔻 down,-12.95%,12.95%
Tampa Bay Rays_Detroit Tigers_20250707_2241,Detroit Tigers,FanDuel,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.93,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,1.7,,2025-07-07 22:41:00,2025-07-07,22,41,-0.23,-11.92,11.92,🔻 down,-11.92%,11.92%
Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays,BetRivers,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.89,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,2.1,,2025-07-07 22:41:00,2025-07-07,22,41,0.21,11.11,11.11,🔺 up,11.11%,11.11%
Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays,FanDuel,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.93,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,2.12,,2025-07-07 22:41:00,2025-07-07,22,41,0.19,9.84,9.84,🔺 up,9.84%,9.84%
Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays,MyBookie.ag,h2h,2025-07-07 14:23:23,Tampa Bay Rays @ Detroit Tigers,1.9,,2025-07-07 22:41:00,2025-07-07,22,41,2025-07-07 16:46:44,Tampa Bay Rays @ Detroit Tigers,1.8,,2025-07-07 22:41:00,2025-07-07,22,41,-0.1,-5.26,5.26,🔻 down,-5.26%,5.26%
Los Angeles Dodgers_Milwaukee Brewers_20250707_2340,Milwaukee Brewers,BetMGM,h2h,2025-07-07 14:23:23,Los Angeles Dodgers @ Milwaukee Brewers,2.1,,2025-07-07 23:40:00,2025-07-07,23,40,2025-07-07 16:46:44,Los Angeles Dodgers @ Milwaukee Brewers,2.2,,2025-07-07 23:40:00,2025-07-07,23,40,0.1,4.76,4.76,🔺 up,4.76%,4.76%
