timestamp,game_id,matchup,team,bookmaker,market,odds,point,game_time,game_date,game_hour,game_minute
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,FanDuel,h2h,1.93,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,FanDuel,h2h,1.93,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,FanDuel,spreads,1.55,1.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,FanDuel,spreads,2.5,-1.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Over,FanDuel,totals,1.88,8.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Under,FanDuel,totals,1.94,8.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,MyBookie.ag,h2h,1.95,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,MyBookie.ag,h2h,1.9,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,MyBookie.ag,spreads,1.57,1.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,MyBookie.ag,spreads,2.48,-1.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Over,MyBookie.ag,totals,1.87,8.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Under,MyBookie.ag,totals,1.94,8.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,DraftKings,h2h,1.93,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,DraftKings,h2h,1.88,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,DraftKings,spreads,1.57,1.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,DraftKings,spreads,2.42,-1.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Over,DraftKings,totals,1.89,8.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Under,DraftKings,totals,1.93,8.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,BetMGM,h2h,1.95,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,BetMGM,h2h,1.87,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,BetMGM,spreads,1.57,1.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,BetMGM,spreads,2.45,-1.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Over,BetMGM,totals,1.87,8.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Under,BetMGM,totals,1.95,8.5,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,BetRivers,h2h,1.93,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,BetRivers,h2h,1.89,,2025-07-07 22:41:00,2025-07-07,22,41
2025-07-07 14:23:23,Tampa Bay Rays_Detroit Tigers_20250707_2241,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,BetRivers,spreads,1.54,1.5,2025-07-07 22:41:00,2025-07-07,22,41
